"published_date","description","location","currency","price","bedrooms","bathrooms","toilets"
"Updated 19 Dec 2020, Added 16 Oct 2020","6 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","... Mojisola Onikoyi Estate Ikoyi Lagos","<U+20A6>","310,000,000","6 beds","6 baths","7 Toilets"
"Updated 21 Dec 2020, Added 23 Nov 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","80,000,000","4 beds","5 baths","6 Toilets"
"Updated 21 Dec 2020, Added 24 Nov 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Parkview Estate Ikoyi Lagos","<U+20A6>","250,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 04 Dec 2020","4 BEDROOM HOUSE FOR SALE","...Ikate Lekki Lagos","<U+20A6>","75,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 04 Dec 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Osapa London Lekki Lagos","<U+20A6>","75,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 04 Dec 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Ikate Lekki Lagos","<U+20A6>","80,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 07 Dec 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Osapa London Lekki Lagos","<U+20A6>","80,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 10 Dec 2020","2 BEDROOM FLAT / APARTMENT FOR SALE","Chevron Lekki Lagos","<U+20A6>","30,000,000","2 beds","2 baths","3 Toilets"
"Updated 21 Dec 2020, Added 11 Dec 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","260,000,000","5 beds","5 baths","6 Toilets"
"Updated 21 Dec 2020, Added 17 Dec 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Oniru Victoria Island Lagos","<U+20A6>","155,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 16 Oct 2020","6 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","... Mojisola Onikoyi Estate Ikoyi Lagos","<U+20A6>","310,000,000","6 beds","6 baths","7 Toilets"
"Updated 21 Dec 2020, Added 17 Dec 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Oniru Victoria Island Lagos","<U+20A6>","160,000,000","4 beds","5 baths","4 Toilets"
"Updated 21 Dec 2020, Added 17 Dec 2020","5 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Oniru Victoria Island Lagos","<U+20A6>","200,000,000","5 beds","5 baths","Toilets"
"Updated 21 Dec 2020, Added 17 Dec 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Oniru Victoria Island Lagos","<U+20A6>","75,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 01 Sep 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Ajah Lagos","<U+20A6>","40,000,000","4 beds","4 baths","4 Toilets"
"Updated 21 Dec 2020, Added 02 Sep 2020","2 BEDROOM FLAT / APARTMENT FOR SALE","Old Ikoyi Ikoyi Lagos","<U+20A6>","100,000,000","2 beds","3 baths","2 Toilets"
"Updated 21 Dec 2020, Added 17 Sep 2020","SHOP IN A MALL COMMERCIAL PROPERTY FOR SALE","IlajeLekki Lagos","<U+20A6>","15,000,000","beds","baths","Toilets"
"Updated 21 Dec 2020, Added 01 Dec 2020","SERVICED RESIDENTIAL LAND LAND FOR SALE","Lekki Second toll gate After Orchid Hotel RoadChevron Lekki Lagos","<U+20A6>","25,000,000","beds","baths","Toilets"
"Updated 21 Dec 2020, Added 16 Dec 2020","RESIDENTIAL LAND LAND FOR SALE","Goldstone estate, monastery road Sangotedo Ajah Lagos","<U+20A6>","20,000,000","beds","baths","Toilets"
"Updated 21 Dec 2020, Added 17 Jun 2020","LAND FOR SALE","Tagbati TownEleranigbe Ibeju Lekki Lagos","<U+20A6>","1,500,000","beds","baths","Toilets"
"Updated 21 Dec 2020, Added 11 Jul 2020","LAND FOR SALE","Sam Mbakwe International Airport RoadOwerri Imo","<U+20A6>","1,800,000","beds","baths","Toilets"
"Updated 21 Dec 2020, Added 14 Dec 2020","RESIDENTIAL LAND LAND FOR SALE","Kings Gate Phase 2, Imosan, Igbogun La Campaingne Tropicana Ibeju Lekki, LagosLacampaigne Tropicana Ibeju Lekki Lagos","<U+20A6>","1,500,000","0 beds","0 baths","0 Toilets"
"Updated 19 Dec 2020, Added 20 Aug 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Old Ikoyi Ikoyi Lagos","<U+20A6>","200,000,000","5 beds","5 baths","5 Toilets"
"Updated 21 Dec 2020, Added 14 Dec 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","...Banana Island Ikoyi Lagos","<U+20A6>","1,600,000,000","5 beds","5 baths","6 Toilets"
"Updated 21 Dec 2020, Added 14 Dec 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","-Old Ikoyi Ikoyi Lagos","<U+20A6>","150,000,000","3 beds","3 baths","4 Toilets"
"Updated 21 Dec 2020, Added 08 Dec 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","..Old Ikoyi Ikoyi Lagos","<U+20A6>","130,000,000","3 beds","3 baths","4 Toilets"
"Updated 21 Dec 2020, Added 27 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","100,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 24 Aug 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Ikota Lekki Lagos","<U+20A6>","55,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 10 Sep 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Orchid Road.Lekki Lagos","<U+20A6>","150,000,000","5 beds","5 baths","6 Toilets"
"Updated 21 Dec 2020, Added 03 Oct 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Near VGCLekki Lagos","<U+20A6>","40,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 17 Oct 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Off Chevron DriveChevron Lekki Lagos","<U+20A6>","88,000,000","5 beds","5 baths","6 Toilets"
"Updated 21 Dec 2020, Added 29 Oct 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Idado Lekki Lagos","<U+20A6>","120,000,000","5 beds","5 baths","6 Toilets"
"Updated 19 Dec 2020, Added 06 Aug 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","... Lekki Phase 1 Lekki Lagos","<U+20A6>","320,000,000","5 beds","6 baths","7 Toilets"
"Updated 21 Dec 2020, Added 29 Oct 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","AjahAjah Lagos","<U+20A6>","33,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 15 Dec 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","300,000,000","5 beds","5 baths","6 Toilets"
"Updated 21 Dec 2020, Added 25 Nov 2020","3 BEDROOM BLOCKS OF FLATS HOUSE FOR SALE","Soluyi Gbagada Lagos","<U+20A6>","190,000,000","3 beds","baths","Toilets"
"Updated 21 Dec 2020, Added 17 Dec 2020","7 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","...Banana Island Ikoyi Lagos","$","5,520,000","7 beds","7 baths","8 Toilets"
"Updated 21 Dec 2020, Added 12 Dec 2020","RESIDENTIAL LAND LAND FOR SALE","Babatunde Close off Babatunde StreetOgunlana Surulere Lagos","<U+20A6>","75,000,000","beds","baths","Toilets"
"Updated 21 Dec 2020, Added 18 Dec 2020","MIXED USE LAND LAND FOR SALE","Beside chevron Lekki, Along the expressway Chevron Lekki Lagos","<U+20A6>","1,700,000,000","beds","baths","Toilets"
"Updated 21 Dec 2020, Added 10 Dec 2020","5 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","314 close banana island IKOYI Lagos Banana Island Ikoyi Lagos","<U+20A6>","450,000,000","5 beds","5 baths","5 Toilets"
"Added 21 Dec 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Rose garden man go to Ikeja Lagos Mangoro Ikeja Lagos","<U+20A6>","23,500,000","4 beds","4 baths","5 Toilets"
"Added 20 Dec 2020","3 BEDROOM DETACHED BUNGALOW HOUSE FOR SALE","On the Lagos Ibadan Express Beside RCCG Youth ChurchMowe Obafemi Owode Ogun","<U+20A6>","9,500,000","3 beds","3 baths","4 Toilets"
"Added 20 Dec 2020","SERVICED RESIDENTIAL LAND LAND FOR SALE","Ilamija TownEpe Road Epe Lagos","<U+20A6>","950,000","beds","baths","Toilets"
