"published_date","description","location","currency","price","bedrooms","bathrooms","toilets"
"Updated 24 Dec 2020, Added 01 Dec 2020","SERVICED RESIDENTIAL LAND LAND FOR SALE","Lekki Second toll gate After Orchid Hotel Road chevron Lekki Lagos","<U+20A6>","25,000,000","beds","baths","Toilets"
"Added 15 Jul 2020","RESIDENTIAL LAND LAND FOR SALE","Located at the heart of Guzape. Guzape Abuja","<U+20A6>","30,000,000","beds","baths","Toilets"
"Added 15 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","life camp Dape Abuja","<U+20A6>","50,000,000","4 beds","4 baths","5 Toilets"
"Added 15 Jul 2020","RESIDENTIAL LAND LAND FOR SALE","Labori, Ajegunle, Via Gbaga Off Sagamu Expressway, Sagamu, Ogun StateSagamu Sagamu Ogun","<U+20A6>","50,000,000","beds","baths","Toilets"
"Added 15 Jul 2020","10 BEDROOM HOTEL/GUEST HOUSE COMMERCIAL PROPERTY FOR SALE","Airport road oba-ileAkure Ondo","<U+20A6>","600,000,000","10 beds","10 baths","10 Toilets"
"Added 15 Jul 2020","3 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Orchid Hotel rd, Opp Buena Vista EstateOff Lekki Epe Expressway Ajah Lagos","<U+20A6>","52,000,000","3 beds","3 baths","3 Toilets"
"Added 15 Jul 2020","4 BEDROOM FLAT / APARTMENT FOR SALE","Airport Road before Kuje BridgeLugbe Abuja","<U+20A6>","8,000,000","4 beds","baths","Toilets"
"Added 15 Jul 2020","MIXED USE LAND LAND FOR SALE","Green View Estate Orchid RoadChevron Lekki Lagos","<U+20A6>","25,000,000","beds","baths","Toilets"
"Added 15 Jul 2020","1 BEDROOM MINI FLAT DETACHED BUNGALOW HOUSE FOR SALE","idu stationIdu Abuja","<U+20A6>","8,000,000","1 beds","2 baths","2 Toilets"
"Added 15 Jul 2020","10 BEDROOM HOTEL/GUEST HOUSE COMMERCIAL PROPERTY FOR SALE","JUJI, sabo tasha kadunaChikun Kaduna","<U+20A6>","20,000,000","10 beds","9 baths","9 Toilets"
"Updated 23 Dec 2020, Added 06 Aug 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","... Lekki Phase 1 Lekki Lagos","<U+20A6>","320,000,000","5 beds","6 baths","7 Toilets"
"Added 15 Jul 2020","MIXED USE LAND LAND FOR SALE","Eleko RoadEleko Ibeju Lekki Lagos","<U+20A6>","13,000,000","beds","baths","Toilets"
"Added 15 Jul 2020","3 BEDROOM BLOCKS OF FLATS HOUSE FOR SALE","Salami street Shasha Alimosho Lagos","<U+20A6>","22,000,000","3 beds","2 baths","2 Toilets"
"Added 15 Jul 2020","MIXED USE LAND LAND FOR SALE","Beach RoadJakande Lekki Lagos","<U+20A6>","57,000,000","beds","baths","Toilets"
"Added 15 Jul 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Forthright Estate, Punch Bus StopMagboro Obafemi Owode Ogun","<U+20A6>","60,000,000","4 beds","4 baths","5 Toilets"
"Added 15 Jul 2020","RESIDENTIAL LAND LAND FOR SALE","Caleb's Court& Garden Opposite Ido Local Govt Sec. Ido Oyo","<U+20A6>","1,500,000","beds","baths","Toilets"
"Added 15 Jul 2020","COMMERCIAL LAND LAND FOR SALE","Eku/Warri Road, near the Oha bridge onOkpe Delta","<U+20A6>","21,000,000","beds","baths","Toilets"
"Added 14 Jul 2020","3 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Road 1, Block R5Lekki Gardens Estate Ajah Lagos","<U+20A6>","27,000,000","3 beds","4 baths","5 Toilets"
"Added 14 Jul 2020","3 BEDROOM BLOCKS OF FLATS HOUSE FOR SALE","itire, ilogboAjangbadi Ojo Lagos","<U+20A6>","25,000,000","3 beds","baths","Toilets"
"Added 14 Jul 2020","RESIDENTIAL LAND LAND FOR SALE","Temple street.Orisunbare Alimosho Lagos","<U+20A6>","20,000,000","beds","baths","Toilets"
"Added 14 Jul 2020","LAND FOR SALE","SagamuSagamu Sagamu Ogun","<U+20A6>","1,500,000","beds","baths","Toilets"
"Added 14 Jul 2020","FLAT / APARTMENT FOR SALE","Inside Abijo GRA , 4 minute drive from Novare mall ( shoprite sangotedo)Lekki Lagos","<U+20A6>","11,000,000","beds","baths","Toilets"
"Updated 23 Dec 2020, Added 20 Dec 2020","SERVICED RESIDENTIAL LAND LAND FOR SALE","Okegun.Along Leki Epe Express Road After Eleko Junction Ibeju-Lekki Lagos","<U+20A6>","3,500,000","beds","baths","Toilets"
"Added 14 Jul 2020","1 BEDROOM MINI FLAT COMMERCIAL PROPERTY FOR SALE","Breadfruit StreetApongbon Lagos Island Lagos","<U+20A6>","365,000,000","1 beds","1 baths","1 Toilets"
"Added 14 Jul 2020","MIXED USE LAND LAND FOR SALE","Agric Ikorodu Lagos","<U+20A6>","2,500,000","beds","baths","Toilets"
"Added 14 Jul 2020","MIXED USE LAND LAND FOR SALE","Opposite mopol Baracks Kubwa Abuja","<U+20A6>","160,000,000","beds","baths","Toilets"
"Added 14 Jul 2020","3 BEDROOM DETACHED BUNGALOW HOUSE FOR SALE","Kayode oduba off modupe young (divine home estate)Thomas Estate Ajah Lagos","<U+20A6>","35,000,000","3 beds","3 baths","4 Toilets"
"Added 14 Jul 2020","SERVICED RESIDENTIAL LAND LAND FOR SALE","Okitipupa Ondo","<U+20A6>","700,000","beds","baths","Toilets"
"Added 14 Jul 2020","COMMERCIAL LAND LAND FOR SALE","Iyafin busstop, seme expressway.Badagry Badagry Lagos","<U+20A6>","40,000,000","beds","baths","Toilets"
"Added 14 Jul 2020","RESIDENTIAL LAND LAND FOR SALE","Free Trade Zone Ibeju Lekki Lagos","<U+20A6>","4,500,000","beds","baths","Toilets"
"Added 14 Jul 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","After Chevron Toll gateIkota Lekki Lagos","<U+20A6>","63,000,000","4 beds","5 baths","5 Toilets"
"Added 14 Jul 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Jibrin estateSangotedo Ajah Lagos","<U+20A6>","65,000,000","5 beds","6 baths","6 Toilets"
"Updated 23 Dec 2020, Added 15 Mar 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Yaba Gra Abule-Oja Yaba Lagos","<U+20A6>","45,000,000","3 beds","3 baths","4 Toilets"
"Added 14 Jul 2020","6 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Aleke bustop just after mayaMaya Ikorodu Lagos","<U+20A6>","17,000,000","6 beds","6 baths","7 Toilets"
"Added 14 Jul 2020","COMMERCIAL PROPERTY FOR SALE","Old secretariat roadGarki 1 Abuja","<U+20A6>","150,000","beds","baths","Toilets"
"Added 14 Jul 2020","RESIDENTIAL LAND LAND FOR SALE","Epe Road Epe Lagos","<U+20A6>","10,500,000","beds","baths","Toilets"
"Added 14 Jul 2020","10 BEDROOM COMMERCIAL PROPERTY FOR SALE","Ozumba MbadigweAhmadu Bello Way Victoria Island Lagos","<U+20A6>","15,000,000,000","10 beds","10 baths","10 Toilets"
"Added 14 Jul 2020","MIXED USE LAND LAND FOR SALE","Asejire, opposite coca cola ibadan.Egbeda Oyo","<U+20A6>","1,500,000","beds","baths","Toilets"
"Added 14 Jul 2020","MIXED USE LAND LAND FOR SALE","MgbakwuAwka North Anambra","<U+20A6>","1,650,000","beds","baths","Toilets"
"Added 14 Jul 2020","SHARED APARTMENT FLAT / APARTMENT FOR SALE","Behind Adorable British college, New Haven extension, Enugu Enugu","<U+20A6>","40,000,000","beds","baths","Toilets"
"Added 14 Jul 2020","DETACHED BUNGALOW HOUSE FOR SALE","Mowo Nla Ijede Ikorodu Lagos","<U+20A6>","18,000,000","beds","baths","Toilets"
"Added 14 Jul 2020","3 BEDROOM DETACHED BUNGALOW HOUSE FOR SALE","Abijo Ajah Lagos","<U+20A6>","24,000,000","3 beds","3 baths","4 Toilets"
"Added 13 Jul 2020","LAND FOR SALE","Omademe, Omagwa, near Port Harcourt International AirportIkwerre Rivers","<U+20A6>","800,000","beds","baths","Toilets"
"Added 13 Jul 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Chevron DriveChevron Lekki Lagos","<U+20A6>","60,000,000","4 beds","4 baths","5 Toilets"
"Updated 23 Dec 2020, Added 10 Jul 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","chevron Lekki Lagos","<U+20A6>","60,000,000","4 beds","4 baths","5 Toilets"
