"published_date","description","location","currency","price","bedrooms","bathrooms","toilets"
"Updated 22 Dec 2020, Added 02 Nov 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","Pearl Gardens Estate Monastery road Sangotedo Lagos","<U+20A6>","38,800,000","4 beds","3 baths","3 Toilets"
"Updated 23 Dec 2020, Added 17 Mar 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","2B off Elizabeth street Golf EstateEnugu Enugu","<U+20A6>","50,000,000","4 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 20 Mar 2020","6 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Winners Highway, Behind Amac Market Lugbe Abuja","<U+20A6>","50,000,000","6 beds","5 baths","5 Toilets"
"Updated 23 Dec 2020, Added 28 Mar 2020","4 BEDROOM BLOCKS OF FLATS HOUSE FOR SALE","Lekki Phase 1, Meadow Hall Way, Beside New Horizon 2, Opposite Richmond Estate, Bella CourtsIkate Lekki Lagos","<U+20A6>","37,500,000","4 beds","5 baths","5 Toilets"
"Updated 23 Dec 2020, Added 26 Mar 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Lekki Paradise 3, Chevron Drive, Lekki Phase 2 Lekki Lagos","<U+20A6>","37,000,000","4 beds","4 baths","5 Toilets"
"Updated 23 Dec 2020, Added 26 Mar 2020","3 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Southern Point Estate Orchid Road, Lekki Lagos","<U+20A6>","47,000,000","3 beds","3 baths","4 Toilets"
"Updated 23 Dec 2020, Added 27 Mar 2020","3 BEDROOM BLOCKS OF FLATS HOUSE FOR SALE","jabi/Dakibiu through MosqueJabi Abuja","<U+20A6>","12,000,000","3 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 27 Mar 2020","SELF CONTAIN FLAT / APARTMENT FOR SALE","ibekweIkot Abasi Akwa Ibom","<U+20A6>","17,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 28 Mar 2020","BLOCKS OF FLATS HOUSE FOR SALE","Ago Palace Okota Lagos","<U+20A6>","35,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 15 Apr 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Ikota VillaLekki Phase 2 Lekki Lagos","<U+20A6>","65,000,000","5 beds","5 baths","6 Toilets"
"Updated 23 Dec 2020, Added 30 Aug 2020","1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR SALE","Ikorodu Ikorodu Lagos","<U+20A6>","43,000,000","1 beds","1 baths","1 Toilets"
"Updated 23 Dec 2020, Added 15 Apr 2020","HOTEL/GUEST HOUSE COMMERCIAL PROPERTY FOR SALE","2 Akeju Ijabe street ImotaIkorodu Lagos","<U+20A6>","150,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 20 Apr 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","2nd round aboutLekki Lagos","<U+20A6>","75,000,000","4 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 07 May 2020","4 BEDROOM HOUSE FOR SALE","Osapa London Lekki Lagos","<U+20A6>","55,000,000","4 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 07 May 2020","6 BEDROOM HOUSE FOR SALE","Banana Island Ikoyi Lagos","<U+20A6>","1,200,000,000","6 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 06 May 2020","MIXED USE LAND LAND FOR SALE","-Owerri Imo","<U+20A6>","4,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 07 May 2020","OFFICE SPACE COMMERCIAL PROPERTY FOR SALE","-Ibadan Oyo","<U+20A6>","98,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 28 Jan 2019","LAND FOR SALE","IlasanIkate Lekki Lagos","<U+20A6>","7,500,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 06 Feb 2019","MIXED USE LAND LAND FOR SALE","Off Admiralty way, Lekki Phase 1 Lekki Lagos","<U+20A6>","230,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 25 Feb 2019","LAND FOR SALE",",Amuwo Odofin Lagos","<U+20A6>","100,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 14 Feb 2020","COMMERCIAL PROPERTY FOR SALE","Off Adetokunbo Ademola StreetVictoria Island Lagos","<U+20A6>","2,000,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 14 Feb 2020","HOUSE FOR SALE","Former Inter Road Port Harcourt Rivers","<U+20A6>","3,500,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 15 Dec 2020","1 BEDROOM MINI FLAT FLAT / APARTMENT FOR SALE","Off General Paints Bus Stop Abraham adesanya estate Ajah Lagos","<U+20A6>","17,500,000","1 beds","1 baths","2 Toilets"
"Updated 23 Dec 2020, Added 07 Apr 2018","LAND FOR SALE","off Lekki Express WayLekki Lagos","<U+20A6>","2,500,000,000","beds","baths","Toilets"
"Updated 23 Dec 2020, Added 13 Apr 2018","LAND FOR SALE","-Epe Lagos","<U+20A6>","2,500,000","beds","baths","Toilets"
"Updated 23 Dec 2020, Added 27 Apr 2018","LAND FOR SALE","Remi Fani Kayode StreetIkeja Gra Ikeja Lagos","<U+20A6>","85,000,000","beds","baths","Toilets"
"Updated 23 Dec 2020, Added 18 Feb 2020","5 BEDROOM HOUSE FOR SALE","Amuwo Odofin Lagos","<U+20A6>","62,000,000","5 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 18 Feb 2020","LAND FOR SALE","Ologolo Lekki Lagos","<U+20A6>","37,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 18 Feb 2020","LAND FOR SALE","SimawaMowe Obafemi Owode Ogun","<U+20A6>","1,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 19 Feb 2020","COMMERCIAL PROPERTY FOR SALE","Allen Avenue Ikeja Lagos","<U+20A6>","400,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 18 Feb 2020","LAND FOR SALE","By Old Karmo Karmo Abuja","<U+20A6>","995,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 20 Feb 2020","1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR SALE","Beverage Street, Oke-Elutu, Ijede RoadIjede Ikorodu Lagos","<U+20A6>","15,000,000","1 beds","1 baths","0 Toilets"
"Updated 23 Dec 2020, Added 20 Dec 2020","SERVICED RESIDENTIAL LAND LAND FOR SALE","Okegun.Along Leki Epe Express Road After Eleko Junction Ibeju-Lekki Lagos","<U+20A6>","3,500,000","beds","baths","Toilets"
"Updated 23 Dec 2020, Added 20 Feb 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","ROAD 5, NO: 2 AKOKA , KUTE AREA , LAGELU, Ibadan Oyo","<U+20A6>","10,000,000","3 beds","0 baths","4 Toilets"
"Updated 23 Dec 2020, Added 20 Feb 2020","RESIDENTIAL LAND LAND FOR SALE","off Ajibola CrescentAlapere Kosofe Ikosi Lagos","<U+20A6>","5,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 24 Feb 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","-Karmo Abuja","<U+20A6>","24,000,000","4 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 24 Feb 2020","COMMERCIAL PROPERTY FOR SALE","...Mararaba Abuja","<U+20A6>","100,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 24 Feb 2020","LAND FOR SALE","Fort-felicia Golf Resort Estate, Behind Sars Rukpokwu, Port Harcourt.,Rupkpokwu Port Harcourt Rivers","<U+20A6>","13,500,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 25 Feb 2020","LAND FOR SALE","Area 3 Junction Behind Anambra Plaza, Close To Living Faith Church., Durumi Abuja","<U+20A6>","80,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 25 Feb 2020","FLAT / APARTMENT FOR SALE","Ose 11, Onitsha, AnambraOnitsha North Anambra","<U+20A6>","77,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 20 Feb 2020","HOUSE FOR SALE","Banana Island, Ikoyi Lagos","<U+20A6>","10,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 25 Feb 2020","WAREHOUSE COMMERCIAL PROPERTY FOR SALE","Amuwo OdofinIsolo Lagos","<U+20A6>","1,700,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 24 Feb 2020","WAREHOUSE COMMERCIAL PROPERTY FOR SALE","OWORONSHOKIShomolu Shomolu Lagos","<U+20A6>","35,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 24 Feb 2020","6 BEDROOM BLOCKS OF FLATS HOUSE FOR SALE","saboSabo Yaba Lagos","<U+20A6>","65,000,000","6 beds","6 baths","6 Toilets"
"Updated 24 Dec 2020, Added 08 Jun 2020","1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR SALE","Taiye Olowu Street Off Victoria Arobieke. Lekki Phase 1 Lekki Lagos","<U+20A6>","50,000,000","1 beds","1 baths","2 Toilets"
"Updated 23 Dec 2020, Added 26 Feb 2020","4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE","orchid hotel roadChevron Lekki Lagos","<U+20A6>","56,000,000","4 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 26 Feb 2020","DETACHED BUNGALOW HOUSE FOR SALE","Osubi, Okpe, Delta Isoko North Delta","<U+20A6>","17,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 26 Feb 2020","FACTORY COMMERCIAL PROPERTY FOR SALE","Agbado Crossing, Behind Nureni Yusuf, Alagbado Abule Egba Lagos","<U+20A6>","8,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 27 Feb 2020","COMMERCIAL PROPERTY FOR SALE","14 Kareem babatunde street Idi ope bus -stop,Agege Lagos","<U+20A6>","700,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 27 Feb 2020","WAREHOUSE COMMERCIAL PROPERTY FOR SALE","Oregun Industrial EstateOregun Ikeja Lagos","<U+20A6>","3,300,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 25 Feb 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","WuyeWuye Abuja","<U+20A6>","25,000,000","3 beds","3 baths","4 Toilets"
"Updated 23 Dec 2020, Added 25 Feb 2020","1 BEDROOM MINI FLAT LAND FOR SALE","Thomas Estate Ajah Lagos","<U+20A6>","35,000,000","1 beds","1 baths","2 Toilets"
"Updated 23 Dec 2020, Added 25 Feb 2020","COMMERCIAL PROPERTY FOR SALE","Airport Road, Rupkpokwu Port Harcourt Rivers","<U+20A6>","120,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 25 Feb 2020","COMMERCIAL PROPERTY FOR SALE","Area 1Garki 1 Abuja","<U+20A6>","2,300,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 11 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Ikeja Gra Ikeja GRA Ikeja Lagos","<U+20A6>","150,000,000","4 beds","4 baths","5 Toilets"
"Updated 23 Dec 2020, Added 26 Feb 2020","6 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Guzape Abuja","<U+20A6>","65,000,000","6 beds","6 baths","7 Toilets"
"Updated 23 Dec 2020, Added 27 Feb 2020","COMMERCIAL PROPERTY FOR SALE","AkowonjoAlimosho Lagos","<U+20A6>","17,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 02 Mar 2020","6 BEDROOM DETACHED BUNGALOW HOUSE FOR SALE","ddress behind amusu house housing estate ibaraObafemi Owode Ogun","<U+20A6>","35,000,000","6 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 02 Mar 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","kings town estateLife Camp Abuja","<U+20A6>","60,000,000","4 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 01 Mar 2020","RESIDENTIAL LAND LAND FOR SALE","Close To The Gate Vgc Lekki Lagos","<U+20A6>","65,000,000","0 beds","0 baths","0 Toilets"
"Updated 23 Dec 2020, Added 01 Mar 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Omole Phase 1 Ojodu Lagos","<U+20A6>","90,000,000","4 beds","4 baths","5 Toilets"
