"published_date","description","location","currency","price","bedrooms","bathrooms","toilets"
"Updated 23 Dec 2020, Added 07 Dec 2020","4 BEDROOM FLAT / APARTMENT FOR RENT","... Old Ikoyi Ikoyi Lagos","<U+20A6>","14,999,999/year","4 beds","4 baths","5 Toilets"
"Updated 23 Dec 2020, Added 18 Sep 2020","4 BEDROOM FLAT / APARTMENT FOR RENT","Ikoyi Lagos","<U+20A6>","15,000,000","4 beds","4 baths","5 Toilets"
"Updated 23 Dec 2020, Added 19 Dec 2020","2 BEDROOM FLAT / APARTMENT FOR RENT","Old Ikoyi Ikoyi Lagos","<U+20A6>","12,000,000","2 beds","2 baths","3 Toilets"
"Updated 23 Dec 2020, Added 08 Jun 2020","OFFICE SPACE COMMERCIAL PROPERTY FOR RENT","Ikosi Road, Oluyole Bustop OregunOregun Ikeja Lagos","<U+20A6>","25,000","beds","baths","2 Toilets"
"Updated 23 Dec 2020, Added 17 Dec 2020","3 BEDROOM FLAT / APARTMENT FOR RENT","Ikota Lekki Lagos","<U+20A6>","2,800,000","3 beds","3 baths","4 Toilets"
"Updated 23 Dec 2020, Added 17 Jun 2020","3 BEDROOM FLAT / APARTMENT FOR RENT","Old Ikoyi Ikoyi Lagos","<U+20A6>","10,000,000","3 beds","3 baths","4 Toilets"
"Updated 23 Dec 2020, Added 16 Dec 2020","3 BEDROOM FLAT / APARTMENT FOR RENT","OLALEYE Estate Alaka Iponri Surulere Lagos","<U+20A6>","2,500,000","3 beds","4 baths","4 Toilets"
"Updated 23 Dec 2020, Added 19 Aug 2020","3 BEDROOM FLAT / APARTMENT FOR RENT","Off Kudirat Abiola way, Julie EstateOregun Ikeja Lagos","<U+20A6>","2,500,000","3 beds","3 baths","4 Toilets"
"Updated 23 Dec 2020, Added 18 Jul 2020","3 BEDROOM FLAT / APARTMENT FOR RENT","Old Ikoyi Ikoyi Lagos","<U+20A6>","9,000,000","3 beds","3 baths","4 Toilets"
"Updated 23 Dec 2020, Added 28 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT","Bourdillon Ikoyi Lagos","<U+20A6>","15,000,000","4 beds","5 baths","4 Toilets"
"Updated 23 Dec 2020, Added 15 Mar 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Yaba Gra Abule-Oja Yaba Lagos","<U+20A6>","45,000,000","3 beds","3 baths","4 Toilets"
"Updated 23 Dec 2020, Added 26 Nov 2020","3 BEDROOM FLAT / APARTMENT FOR RENT","Lekki Phase 1 Lekki Lagos","<U+20A6>","3,500,000","3 beds","3 baths","4 Toilets"
"Updated 23 Dec 2020, Added 07 Dec 2020","5 BEDROOM HOUSE FOR RENT","...Old Ikoyi Ikoyi Lagos","<U+20A6>","14,999,999","5 beds","5 baths","6 Toilets"
"Updated 23 Dec 2020, Added 13 May 2020","2 BEDROOM FLAT / APARTMENT FOR RENT","Old Ikoyi Ikoyi Lagos","<U+20A6>","13,000,000","2 beds","2 baths","3 Toilets"
"Updated 23 Dec 2020, Added 12 Aug 2020","4 BEDROOM FLAT / APARTMENT FOR RENT","Banana Island Ikoyi Lagos","<U+20A6>","18,000,000","4 beds","4 baths","5 Toilets"
"Updated 23 Dec 2020, Added 18 Sep 2020","3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT","Ikate Lekki Lagos","<U+20A6>","3,700,000","3 beds","3 baths","4 Toilets"
"Updated 23 Dec 2020, Added 15 Apr 2020","2 BEDROOM FLAT / APARTMENT FOR RENT","Old Ikoyi Ikoyi Lagos","<U+20A6>","8,000,000","2 beds","2 baths","3 Toilets"
"Updated 23 Dec 2020, Added 17 Dec 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT","Oniru Victoria Island Lagos","<U+20A6>","5,000,000","4 beds","4 baths","5 Toilets"
"Updated 23 Dec 2020, Added 17 Jun 2020","2 BEDROOM FLAT / APARTMENT FOR RENT","Old Ikoyi Ikoyi Lagos","<U+20A6>","8,000,000","2 beds","2 baths","3 Toilets"
"Updated 23 Dec 2020, Added 04 Aug 2020","4 BEDROOM FLAT / APARTMENT FOR RENT","Parkview Estate Ikoyi Lagos","<U+20A6>","10,000,000","4 beds","5 baths","6 Toilets"
