"published_date","description","location","currency","price","bedrooms","bathrooms","toilets"
"Updated 23 Dec 2020, Added 15 Dec 2020","1 BEDROOM MINI FLAT FLAT / APARTMENT FOR SALE","Off General Paints Bus Stop Abraham adesanya estate Ajah Lagos","<U+20A6>","17,500,000","1 beds","1 baths","2 Toilets"
"Updated 22 Dec 2020, Added 12 Apr 2020","1 BEDROOM MINI FLAT FLAT / APARTMENT FOR SALE","AlapereAlapere Kosofe Ikosi Lagos","<U+20A6>","25,000,000","1 beds","1 baths","1 Toilets"
"Updated 22 Dec 2020, Added 13 Apr 2020","MIXED USE LAND LAND FOR SALE","Akodo Ise Ibeju Lekki Lagos","<U+20A6>","750,000","beds","baths","Toilets"
"Updated 22 Dec 2020, Added 14 Apr 2020","5 BEDROOM DETACHED BUNGALOW HOUSE FOR SALE","AlapereIkosi Ketu Kosofe Ikosi Lagos","<U+20A6>","10,000,000","5 beds","5 baths","5 Toilets"
"Updated 22 Dec 2020, Added 26 Apr 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Osapa London Lekki Lagos","<U+20A6>","255,000,000","5 beds","5 baths","6 Toilets"
"Updated 22 Dec 2020, Added 28 Apr 2020","MIXED USE LAND LAND FOR SALE","Satellite Town Amuwo Odofin Lagos","<U+20A6>","13,000,000","beds","baths","Toilets"
"Updated 22 Dec 2020, Added 29 Apr 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Ago Palace Okota Lagos","<U+20A6>","33,000,000","3 beds","3 baths","2 Toilets"
"Updated 22 Dec 2020, Added 30 Apr 2020","MIXED USE LAND LAND FOR SALE","Festac Amuwo Odofin Lagos","<U+20A6>","25,000,000","beds","baths","Toilets"
"Updated 22 Dec 2020, Added 17 Apr 2020","3 BEDROOM DETACHED BUNGALOW HOUSE FOR SALE","Unique Estate Baruwa IpajaBaruwa Ipaja Lagos","<U+20A6>","16,000,000","3 beds","3 baths","3 Toilets"
"Updated 22 Dec 2020, Added 08 Jun 2020","2 BEDROOM BLOCKS OF FLATS HOUSE FOR SALE","IgandoIgando Ikotun Igando Lagos","<U+20A6>","20,000,000","2 beds","2 baths","3 Toilets"
"Updated 24 Dec 2020, Added 01 Dec 2020","SERVICED RESIDENTIAL LAND LAND FOR SALE","Lekki Second toll gate After Orchid Hotel Road chevron Lekki Lagos","<U+20A6>","25,000,000","beds","baths","Toilets"
