"published_date","description","location","currency","price","bedrooms","bathrooms","toilets"
"Updated 19 Dec 2020, Added 15 Mar 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","Yaba Gra Abule-Oja Yaba Lagos","<U+20A6>","45,000,000","3 beds","3 baths","4 Toilets"
"Updated 21 Dec 2020, Added 16 Dec 2020","RESIDENTIAL LAND LAND FOR SALE","Goldstone estate, monastery road Sangotedo Ajah Lagos","<U+20A6>","20,000,000","beds","baths","Toilets"
"Updated 21 Dec 2020, Added 17 Jun 2020","LAND FOR SALE","Tagbati TownEleranigbe Ibeju Lekki Lagos","<U+20A6>","1,500,000","beds","baths","Toilets"
"Updated 21 Dec 2020, Added 11 Jul 2020","LAND FOR SALE","Sam Mbakwe International Airport RoadOwerri Imo","<U+20A6>","1,800,000","beds","baths","Toilets"
"Updated 21 Dec 2020, Added 14 Dec 2020","RESIDENTIAL LAND LAND FOR SALE","Kings Gate Phase 2, Imosan, Igbogun La Campaingne Tropicana Ibeju Lekki, LagosLacampaigne Tropicana Ibeju Lekki Lagos","<U+20A6>","1,500,000","0 beds","0 baths","0 Toilets"
"Updated 21 Dec 2020, Added 14 Dec 2020","5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","...Banana Island Ikoyi Lagos","<U+20A6>","1,600,000,000","5 beds","5 baths","6 Toilets"
"Updated 21 Dec 2020, Added 14 Dec 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","-Old Ikoyi Ikoyi Lagos","<U+20A6>","150,000,000","3 beds","3 baths","4 Toilets"
"Updated 21 Dec 2020, Added 08 Dec 2020","3 BEDROOM FLAT / APARTMENT FOR SALE","..Old Ikoyi Ikoyi Lagos","<U+20A6>","130,000,000","3 beds","3 baths","4 Toilets"
"Updated 21 Dec 2020, Added 27 Jul 2020","4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE","Lekki Phase 1 Lekki Lagos","<U+20A6>","100,000,000","4 beds","4 baths","5 Toilets"
"Updated 21 Dec 2020, Added 24 Aug 2020","4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE","Ikota Lekki Lagos","<U+20A6>","55,000,000","4 beds","4 baths","5 Toilets"
"Updated 19 Dec 2020, Added 08 Jun 2020","1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR SALE","Taiye Olowu Street Off Victoria Arobieke. Lekki Phase 1 Lekki Lagos","<U+20A6>","50,000,000","1 beds","1 baths","2 Toilets"
