"published_date","description","location","currency","price","bedrooms","bathrooms","toilets"
"Updated 23 Dec 2020, Added 07 Dec 2020","4 BEDROOM FLAT / APARTMENT FOR RENT","... Old Ikoyi Ikoyi Lagos","<U+20A6>","14,999,999/year","4 beds","4 baths","5 Toilets"
"Updated 22 Dec 2020, Added 04 Dec 2020","2 BEDROOM FLAT / APARTMENT FOR RENT","off Chief Natufe by Bodethomas, surulere lagosBode Thomas Surulere Lagos","<U+20A6>","800,000","2 beds","2 baths","2 Toilets"
"Updated 22 Dec 2020, Added 22 Oct 2020","2 BEDROOM FLAT / APARTMENT FOR RENT","Alagbole Yakoyo Alagbole Ojodu Lagos","<U+20A6>","480,000","2 beds","2 baths","3 Toilets"
"Updated 22 Dec 2020, Added 18 Sep 2020","1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR RENT","-Akoka Yaba Lagos","<U+20A6>","350,000","1 beds","1 baths","1 Toilets"
"Updated 22 Dec 2020, Added 03 Dec 2020","3 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT","Gbaremu area Eleyele Ibadan Oyo","<U+20A6>","400,000","3 beds","3 baths","3 Toilets"
"Updated 22 Dec 2020, Added 06 Nov 2020","1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR RENT","Abule ojaAbule Oja Yaba Lagos","<U+20A6>","300,000","1 beds","1 baths","1 Toilets"
"Updated 22 Dec 2020, Added 17 Dec 2020","3 BEDROOM FLAT / APARTMENT FOR RENT","-Ago Palace Okota Lagos","<U+20A6>","1,000,000","3 beds","4 baths","4 Toilets"
"Updated 22 Dec 2020, Added 14 Jul 2019","1 BEDROOM MINI FLAT FLAT / APARTMENT FOR RENT","STAR TIMES ESTATEAgo Palace Okota Lagos","<U+20A6>","500,000","1 beds","2 baths","2 Toilets"
"Updated 22 Dec 2020, Added 20 Aug 2020","FLAT / APARTMENT FOR RENT","ebute meta east Ebute Metta Yaba Lagos","<U+20A6>","650,000","beds","baths","Toilets"
"Updated 22 Dec 2020, Added 04 Nov 2020","1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT","Magodo Gra Phase 1 Ojodu Lagos","<U+20A6>","600,000","1 beds","1 baths","2 Toilets"
"Updated 22 Dec 2020, Added 08 Sep 2020","4 BEDROOM HOUSE FOR SHORTLET","Mekunwen Road, Brains And Hammers Estate, Life Camp Abuja","<U+20A6>","100,000","4 beds","4 baths","5 Toilets"
"Updated 22 Dec 2020, Added 23 Jul 2020","6 BEDROOM DETACHED DUPLEX HOUSE FOR RENT","Residential Main Maitama FCT Abuja Maitama Abuja","<U+20A6>","35,000,000","6 beds","7 baths","7 Toilets"
"Updated 22 Dec 2020, Added 31 Oct 2020","2 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT","A3 hotel area,Along Oojo express Akobo Ibadan Oyo","<U+20A6>","450,000","2 beds","2 baths","2 Toilets"
"Updated 22 Dec 2020, Added 20 Aug 2020","1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT","Oke Afa Isolo Lagos","<U+20A6>","400,000","1 beds","baths","Toilets"
"Updated 22 Dec 2020, Added 16 Apr 2020","3 BEDROOM TERRACED BUNGALOW HOUSE FOR RENT","Property located at Arije area by adeleye bus stop after olodo banksIbadan Oyo","<U+20A6>","3,000,000","3 beds","4 baths","4 Toilets"
"Updated 22 Dec 2020, Added 30 Nov 2020","1 BEDROOM MINI FLAT WAREHOUSE COMMERCIAL PROPERTY FOR RENT","Olasande street Ladipo Mushin Lagos","<U+20A6>","1,300,000","1 beds","1 baths","1 Toilets"
"Updated 22 Dec 2020, Added 04 Sep 2020","1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT","Osborne phase2Osborne Foreshore Estate Ikoyi Lagos","<U+20A6>","850,000","1 beds","2 baths","2 Toilets"
"Updated 22 Dec 2020, Added 05 Dec 2019","4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT","Off admiralty wayLekki Phase 1 Lekki Lagos","<U+20A6>","4,500,000","4 beds","4 baths","5 Toilets"
"Updated 22 Dec 2020, Added 30 Jan 2020","SHOP COMMERCIAL PROPERTY FOR RENT","off olowu,ikejaObafemi Awolowo Way Ikeja Lagos","<U+20A6>","1,000,000","0 beds","0 baths","0 Toilets"
"Updated 22 Dec 2020, Added 08 Jul 2020","1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR RENT","Renecon road, MacaulayIgbogbo Ikorodu Lagos","<U+20A6>","100,000","1 beds","1 baths","1 Toilets"
"Updated 22 Dec 2020, Added 01 Apr 2020","3 BEDROOM SHARED APARTMENT FLAT / APARTMENT FOR RENT","Teachers Quarters Igbogbo Ikorodu Lagos","<U+20A6>","350,000","3 beds","3 baths","3 Toilets"
"Updated 22 Dec 2020, Added 17 Jan 2019","1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT","Harmony EstateIfako Gbagada Gbagada Lagos","<U+20A6>","550,000","1 beds","1 baths","1 Toilets"
"Updated 23 Dec 2020, Added 07 Dec 2020","4 BEDROOM FLAT / APARTMENT FOR RENT","... Old Ikoyi Ikoyi Lagos","<U+20A6>","14,999,999/year","4 beds","4 baths","5 Toilets"
"Updated 22 Dec 2020, Added 10 Jul 2020","3 BEDROOM FLAT / APARTMENT FOR RENT","Alagomeji Yaba Lagos","<U+20A6>","2,500,000","3 beds","3 baths","4 Toilets"
"Updated 22 Dec 2020, Added 30 May 2020","2 BEDROOM FLAT / APARTMENT FOR RENT","Off MURI STREET ALAPERE KETU, LAGOSKetu Kosofe Ikosi Lagos","<U+20A6>","800,000","2 beds","3 baths","3 Toilets"
